date,price,usd_brl,rainfall_index,supply_index,day,month,year,day_of_week,day_of_year,week_of_year,quarter,price_lag_1,price_lag_5,price_lag_20,rolling_mean_5,rolling_mean_20,rolling_std_20
2019-06-19,80.58,3.818,47.88,99.84,19,6,2019,2,170,25,2,77.22,79.51,85.3,80.32199999999999,79.829,2.7355667170000197
2019-06-20,82.18,3.841,42.1,96.24,20,6,2019,3,171,25,2,80.58,80.71,81.07,80.53599999999999,79.59299999999999,2.4246694837159835
2019-06-21,84.84,3.831,48.71,95.14,21,6,2019,4,172,25,2,82.18,84.61,83.03,80.83,79.6485,2.472489210236765
2019-06-24,84.11,3.894,41.66,98.55,24,6,2019,0,175,26,2,84.84,79.56,79.44,80.876,79.739,2.6308311674410665
2019-06-25,81.16,3.845,51.41,100.69,25,6,2019,1,176,26,2,84.11,77.22,78.73,81.786,79.9725,2.8044135797553404
2019-06-26,86.29,3.879,39.53,98.83,26,6,2019,2,177,26,2,81.16,80.58,77.33,82.574,80.09400000000001,2.8003860636104316
2019-06-27,78.86,3.885,41.58,98.39,27,6,2019,3,178,26,2,86.29,82.18,79.97,83.716,80.542,3.0412750096317973
2019-06-28,80.19,3.869,46.74,96.24,28,6,2019,4,179,26,2,78.86,84.84,82.55,83.05199999999999,80.4865,3.0623181363831904
2019-07-01,78.38,3.85,50.73,99.85,1,7,2019,0,182,27,3,80.19,84.11,74.46,82.122,80.36850000000001,3.0238478014470496
2019-07-02,81.48,4.055,45.88,100.3,2,7,2019,1,183,27,3,78.38,81.16,80.93,80.976,80.5645,2.733851100939045
2019-07-03,78.48,3.88,46.63,96.77,3,7,2019,2,184,27,3,81.48,86.29,80.54,81.04,80.592,2.740479404852629
2019-07-04,83.72,3.877,44.61,101.28,4,7,2019,3,185,27,3,78.48,78.86,77.46,79.478,80.489,2.780950045918679
2019-07-05,82.34,3.965,40.84,100.87,5,7,2019,4,186,27,3,83.72,80.19,75.88,80.45,80.80199999999999,2.774366878937918
2019-07-08,78.61,3.964,42.39,101.56,8,7,2019,0,189,28,3,82.34,78.38,80.17,80.88,81.125,2.537071457201731
2019-07-09,79.87,3.859,39.76,100.88,9,7,2019,1,190,28,3,78.61,81.48,78.11,80.926,81.047,2.591376590073179
2019-07-10,84.5,4.047,39.42,101.12,10,7,2019,2,191,28,3,79.87,78.48,79.51,80.604,81.13499999999999,2.5151530245379607
2019-07-11,84.94,3.973,45.21,101.06,11,7,2019,3,192,28,3,84.5,83.72,80.71,81.808,81.3845,2.591803832326725
2019-07-12,88.42,3.912,39.77,101.72,12,7,2019,4,193,28,3,84.94,82.34,84.61,82.05199999999999,81.59599999999999,2.7040270163708593
2019-07-15,91.79,4.083,44.55,97.83,15,7,2019,0,196,29,3,88.42,78.61,79.56,83.268,81.7865,3.040779462052852
2019-07-16,85.17,4.053,38.78,98.44,16,7,2019,1,197,29,3,91.79,79.87,77.22,85.904,82.398,3.7227219809393137
2019-07-17,79.69,3.93,44.29,99.73,17,7,2019,2,198,29,3,85.17,84.5,80.58,86.964,82.7955,3.561687174123532
2019-07-18,77.57,4.152,41.46,100.77,18,7,2019,3,199,29,3,79.69,84.94,82.18,86.002,82.751,3.596217164568504
2019-07-19,82.87,4.083,48.02,101.68,19,7,2019,4,200,29,3,77.57,88.42,84.84,84.52799999999999,82.5205,3.7778920257062727
2019-07-22,79.95,4.044,44.0,101.72,22,7,2019,0,203,30,3,82.87,91.79,84.11,83.41799999999999,82.422,3.7397221962685245
2019-07-23,80.83,4.164,47.13,103.04,23,7,2019,1,204,30,3,79.95,85.17,81.16,81.05,82.214,3.756545725726497
2019-07-24,80.42,4.071,40.09,103.22,24,7,2019,2,205,30,3,80.83,79.69,86.29,80.182,82.19749999999999,3.762139473896863
2019-07-25,81.57,4.065,42.87,100.32,25,7,2019,3,206,30,3,80.42,77.57,78.86,80.328,81.904,3.65346468581902
2019-07-26,84.64,4.027,39.18,102.11,26,7,2019,4,207,30,3,81.57,82.87,80.19,81.128,82.0395,3.5842249033640563
2019-07-29,82.25,4.12,41.0,100.61,29,7,2019,0,210,31,3,84.64,79.95,78.38,81.482,82.262,3.6014508772233653
2019-07-30,80.79,4.118,41.48,101.72,30,7,2019,1,211,31,3,82.25,80.83,81.48,81.94200000000001,82.4555,3.4839473604701046
2019-07-31,77.91,4.091,39.81,102.6,31,7,2019,2,212,31,3,80.79,80.42,78.48,81.934,82.421,3.4975057277708306
2019-08-01,76.61,4.039,38.05,97.12,1,8,2019,3,213,31,3,77.91,81.57,83.72,81.432,82.39250000000001,3.533447511395886
2019-08-02,78.55,4.107,37.32,105.97,2,8,2019,4,214,31,3,76.61,84.64,82.34,80.44000000000001,82.037,3.744239224251224
2019-08-05,80.16,4.097,33.97,103.31,5,8,2019,0,217,32,3,78.55,82.25,78.61,79.22200000000001,81.8475,3.8231729382529704
2019-08-06,84.19,4.011,38.43,101.68,6,8,2019,1,218,32,3,80.16,80.79,79.87,78.804,81.925,3.7694233818422838
2019-08-07,77.85,4.004,44.3,105.57,7,8,2019,2,219,32,3,84.19,77.91,84.5,79.48400000000001,82.141,3.769242420043181
2019-08-08,81.98,4.148,36.49,102.26,8,8,2019,3,220,32,3,77.85,76.61,84.94,79.47200000000001,81.80850000000001,3.842787194349047
2019-08-09,76.17,3.927,37.27,103.08,9,8,2019,4,221,32,3,81.98,78.55,88.42,80.54599999999999,81.6605,3.7721855664016366
2019-08-12,73.6,4.125,48.29,102.24,12,8,2019,0,224,33,3,76.17,80.16,91.79,80.07,81.048,3.607812575363065
2019-08-13,74.1,4.077,39.78,105.54,13,8,2019,1,225,33,3,73.6,84.19,85.17,78.758,80.1385,2.9986686080748033
2019-08-14,75.0,4.201,43.13,102.99,14,8,2019,2,226,33,3,74.1,77.85,79.69,76.74,79.585,3.0424064229004637
2019-08-15,81.82,4.074,44.25,103.46,15,8,2019,3,227,33,3,75.0,81.98,77.57,76.17,79.35049999999998,3.210016355098641
2019-08-16,73.32,4.154,44.32,105.12,16,8,2019,4,228,33,3,81.82,76.17,82.87,76.138,79.563,3.2265756656735207
2019-08-19,78.34,4.078,36.69,104.27,19,8,2019,0,231,34,3,73.32,73.6,79.95,75.568,79.0855,3.4126983844398975
2019-08-20,72.92,4.111,41.22,103.38,20,8,2019,1,232,34,3,78.34,74.1,80.83,76.516,79.005,3.410220705930731
2019-08-21,78.27,4.151,36.38,105.2,21,8,2019,2,233,34,3,72.92,75.0,80.42,76.28,78.6095,3.6384691329705947
2019-08-22,74.02,4.064,50.63,107.4,22,8,2019,3,234,34,3,78.27,81.82,81.57,76.934,78.502,3.6138397715916653
2019-08-23,74.96,4.162,36.5,104.13,23,8,2019,4,235,34,3,74.02,73.32,84.64,75.374,78.1245,3.6703828496709714
2019-08-26,74.22,4.018,38.5,103.88,26,8,2019,0,238,35,3,74.96,78.34,82.25,75.702,77.6405,3.393800035979062
2019-08-27,72.71,4.103,38.56,104.01,27,8,2019,1,239,35,3,74.22,72.92,80.79,74.878,77.239,3.293278481679879
2019-08-28,75.76,4.142,36.99,105.77,28,8,2019,2,240,35,3,72.71,78.27,77.91,74.836,76.83500000000001,3.330132761696947
2019-08-29,72.28,4.118,47.01,102.95,29,8,2019,3,241,35,3,75.76,74.02,76.61,74.33399999999999,76.72749999999999,3.3283058358334703
2019-08-30,69.91,4.199,50.79,103.46,30,8,2019,4,242,35,3,72.28,74.96,78.55,73.98599999999999,76.511,3.4739919401174553
2019-09-02,70.33,4.005,40.79,101.61,2,9,2019,0,245,36,3,69.91,74.22,80.16,72.976,76.079,3.7345258277183997
2019-09-03,74.43,3.955,37.88,102.16,3,9,2019,1,246,36,3,70.33,72.71,84.19,72.198,75.5875,3.8151496832056595
2019-09-04,78.72,3.974,34.73,103.18,4,9,2019,2,247,36,3,74.43,75.76,77.85,72.542,75.0995,3.237330731198004
2019-09-05,74.37,4.083,41.77,103.89,5,9,2019,3,248,36,3,78.72,72.28,81.98,73.134,75.143,3.2817743916814033
2019-09-06,73.2,4.063,41.57,106.64,6,9,2019,4,249,36,3,74.37,69.91,76.17,73.55199999999999,74.7625,2.8616169058402283
2019-09-09,74.71,4.027,40.6,104.8,9,9,2019,0,252,37,3,73.2,70.33,73.6,74.21000000000001,74.614,2.8617944315450385
2019-09-10,77.27,3.933,43.73,102.63,10,9,2019,1,253,37,3,74.71,74.43,74.1,75.086,74.6695,2.851840541419759
2019-09-11,74.89,4.056,44.41,102.91,11,9,2019,2,254,37,3,77.27,78.72,75.0,75.654,74.828,2.906098125630067
2019-09-12,72.17,3.908,44.23,106.05,12,9,2019,3,255,37,3,74.89,74.37,81.82,74.888,74.82249999999999,2.905859552153755
2019-09-13,77.73,4.066,42.08,105.67,13,9,2019,4,256,37,3,72.17,73.2,73.32,74.44800000000001,74.34,2.4478884563513117
2019-09-16,77.18,4.175,39.58,104.0,16,9,2019,0,259,38,3,77.73,74.71,78.34,75.354,74.5605,2.5477574762712174
2019-09-17,79.08,3.991,45.86,103.28,17,9,2019,1,260,38,3,77.18,77.27,72.92,75.848,74.50250000000001,2.469180292281352
2019-09-18,75.51,3.997,43.67,105.6,18,9,2019,2,261,38,3,79.08,74.89,78.27,76.21000000000001,74.8105,2.6396978993818805
2019-09-19,71.63,3.912,46.83,102.39,19,9,2019,3,262,38,3,75.51,72.17,74.02,76.334,74.6725,2.518691964200356
2019-09-20,70.78,3.81,46.58,104.43,20,9,2019,4,263,38,3,71.63,77.73,74.96,76.226,74.553,2.606447673306594
2019-09-23,80.38,3.885,39.15,107.21,23,9,2019,0,266,39,3,70.78,77.18,74.22,74.836,74.34400000000001,2.736441023242668
2019-09-24,81.22,3.841,39.21,104.07,24,9,2019,1,267,39,3,80.38,79.08,72.71,75.476,74.652,3.050407392981966
2019-09-25,76.02,3.806,41.69,102.55,25,9,2019,2,268,39,3,81.22,75.51,75.76,75.904,75.0775,3.3446026827209625
2019-09-26,76.63,4.018,40.75,104.27,26,9,2019,3,269,39,3,76.02,71.63,72.28,76.006,75.09049999999999,3.3478987518490873
2019-09-27,81.06,3.907,47.21,102.89,27,9,2019,4,270,39,3,76.63,70.78,69.91,77.006,75.30799999999999,3.29661006106848
2019-09-30,74.56,3.905,46.15,101.44,30,9,2019,0,273,40,3,81.06,80.38,70.33,79.062,75.86550000000001,3.2784471211713706
2019-10-01,74.39,3.848,48.89,104.52,1,10,2019,1,274,40,4,74.56,81.22,74.43,77.898,76.077,3.029538960929619
2019-10-02,79.2,3.848,46.55,105.07,2,10,2019,2,275,40,4,74.39,76.02,78.72,76.532,76.075,3.0306964632956275
2019-10-03,77.35,3.918,46.02,102.85,3,10,2019,3,276,40,4,79.2,76.63,74.37,77.168,76.099,3.0545512203752256
2019-10-04,77.95,3.84,49.62,102.67,4,10,2019,4,277,40,4,77.35,81.06,73.2,77.312,76.248,3.0384112884689887
2019-10-07,78.33,3.871,47.46,101.71,7,10,2019,0,280,41,4,77.95,74.56,74.71,76.69,76.4855,2.9725524651208057
2019-10-08,79.67,3.812,46.19,102.84,8,10,2019,1,281,41,4,78.33,74.39,77.27,77.444,76.6665,2.9689609648035717
2019-10-09,82.31,3.793,51.27,102.13,9,10,2019,2,282,41,4,79.67,79.2,74.89,78.5,76.7865,3.042234765500863
2019-10-10,79.12,3.711,46.63,101.36,10,10,2019,3,283,41,4,82.31,77.35,72.17,79.12199999999999,77.1575,3.244494729943727
2019-10-11,80.1,3.664,45.31,105.62,11,10,2019,4,284,41,4,79.12,77.95,77.73,79.476,77.505,3.04846207990728
2019-10-14,73.77,3.777,43.87,103.38,14,10,2019,0,287,42,4,80.1,78.33,77.18,79.906,77.6235,3.103239860465186
2019-10-15,78.91,3.792,49.41,103.43,15,10,2019,1,288,42,4,73.77,79.67,79.08,78.994,77.453,3.220356469317445
2019-10-16,76.01,3.692,51.43,103.79,16,10,2019,2,289,42,4,78.91,82.31,75.51,78.84200000000001,77.44449999999999,3.21605753254394
2019-10-17,75.99,3.774,47.08,103.51,17,10,2019,3,290,42,4,76.01,79.12,71.63,77.58200000000001,77.4695,3.202141512044546
2019-10-18,76.71,3.775,51.98,101.62,18,10,2019,4,291,42,4,75.99,80.1,70.78,76.95599999999999,77.6875,2.9196176299755754
2019-10-21,78.69,3.615,40.98,102.53,21,10,2019,0,294,43,4,76.71,73.77,80.38,76.27799999999999,77.984,2.4434970625597
2019-10-22,81.91,3.697,47.83,101.6,22,10,2019,1,295,43,4,78.69,78.91,81.22,77.262,77.8995,2.384794981809589
2019-10-23,75.86,3.786,48.05,102.54,23,10,2019,2,296,43,4,81.91,76.01,76.02,77.862,77.934,2.439718275366837
2019-10-24,79.91,3.781,45.8,102.27,24,10,2019,3,297,43,4,75.86,75.99,76.63,77.832,77.926,2.4465774160309373
2019-10-25,76.76,3.67,56.85,101.05,25,10,2019,4,298,43,4,79.91,76.71,81.06,78.61599999999999,78.09,2.464994929001079
2019-10-28,78.77,3.759,48.76,99.5,28,10,2019,0,301,44,4,76.76,78.69,74.56,78.626,77.875,2.378315414432525
2019-10-29,82.47,3.818,47.73,101.59,29,10,2019,1,302,44,4,78.77,81.91,74.39,78.642,78.0855,2.252447732906298
2019-10-30,80.89,3.799,49.42,100.93,30,10,2019,2,303,44,4,82.47,75.86,79.2,78.75399999999999,78.48949999999999,2.2791930127733195
2019-10-31,83.99,3.737,42.48,98.27,31,10,2019,3,304,44,4,80.89,79.91,77.35,79.76,78.574,2.3375029411748414
2019-11-01,78.49,3.711,47.0,101.73,1,11,2019,4,305,44,4,83.99,76.76,77.95,80.576,78.90599999999999,2.610151034146043
2019-11-04,75.92,3.699,53.6,102.28,4,11,2019,0,308,45,4,78.49,78.77,78.33,80.922,78.93299999999999,2.602523269525573
